epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.644,1.22839,2.75138,1.08514,0.00333,0.98214,0.49707,0.21722,0.68915,3.56901,0.90338,0.00054,0.00054,0.00054
2,386.694,1.15218,1.89247,1.08924,0.00339,1,0.58451,0.42359,0.9009,3.49268,0.99178,0.00107822,0.00107822,0.00107822
3,577.998,1.09968,1.63392,1.0486,0.71596,0.54022,0.71119,0.53642,0.9663,2.59132,1.03342,0.00159426,0.00159426,0.00159426
4,772.067,1.10758,1.41096,1.05642,0.98135,0.80357,0.94331,0.74364,0.81748,1.84912,0.96842,0.0018812,0.0018812,0.0018812
5,966.273,1.06275,1.2828,1.04086,0.92493,0.82143,0.91591,0.58353,1.22486,1.43371,1.06342,0.0018416,0.0018416,0.0018416
6,1169.6,1.03557,1.12426,1.02921,0.95256,0.94643,0.98322,0.74072,0.87614,0.98412,1.02121,0.001802,0.001802,0.001802
7,1387.28,0.96228,0.93929,0.99826,0.93993,0.96429,0.97892,0.73817,0.82216,0.9815,1.0072,0.0017624,0.0017624,0.0017624
8,1589.26,1.08637,0.91526,1.04955,0.9798,0.92857,0.98077,0.73047,0.91391,1.09664,1.01271,0.0017228,0.0017228,0.0017228
9,1786.54,1.00154,0.87352,1.01728,0.96339,0.93987,0.97047,0.73986,0.83197,1.02165,1.01802,0.0016832,0.0016832,0.0016832
10,1988.07,0.90466,0.77331,0.98979,0.97655,0.92857,0.97787,0.7719,0.84175,0.7344,1.00981,0.0016436,0.0016436,0.0016436
11,2198.1,0.96173,0.79045,0.99786,0.95611,0.92857,0.97358,0.76836,0.78503,0.76051,0.93856,0.001604,0.001604,0.001604
12,2400.55,0.94096,0.76034,1.00171,0.9774,0.94643,0.98106,0.7676,0.80725,0.66707,0.97718,0.0015644,0.0015644,0.0015644
13,2601.28,0.92053,0.69203,0.974,0.97739,0.98214,0.99332,0.79496,0.72702,0.5735,0.94663,0.0015248,0.0015248,0.0015248
14,2822.86,0.88981,0.69444,0.98828,0.96263,0.98214,0.9823,0.75519,0.71522,0.60189,0.94946,0.0014852,0.0014852,0.0014852
15,3058.23,0.86846,0.67397,0.96429,0.99946,0.98214,0.99418,0.78453,0.77085,0.51664,0.97666,0.0014456,0.0014456,0.0014456
16,3283.9,0.81428,0.62643,0.94627,0.96099,0.96429,0.98186,0.81199,0.72046,0.49285,0.96437,0.001406,0.001406,0.001406
17,3499.45,0.84434,0.60892,0.96754,0.97164,0.96429,0.96988,0.76767,0.74169,0.54785,0.96936,0.0013664,0.0013664,0.0013664
18,3720.39,0.90395,0.64754,1.00216,0.9981,0.96429,0.98513,0.79535,0.71243,0.55468,0.95933,0.0013268,0.0013268,0.0013268
19,3915.85,0.80919,0.62414,0.95898,0.99641,0.96429,0.98351,0.83412,0.61069,0.48179,0.92955,0.0012872,0.0012872,0.0012872
20,4113.95,0.82495,0.58128,0.95384,0.97913,0.98214,0.985,0.80567,0.64998,0.53928,0.93263,0.0012476,0.0012476,0.0012476
21,4315.2,0.7792,0.57127,0.95045,1,0.98208,0.993,0.82735,0.66309,0.43087,0.95139,0.001208,0.001208,0.001208
22,4511.67,0.76257,0.54352,0.94877,1,0.98079,0.99482,0.83715,0.61942,0.42365,0.93293,0.0011684,0.0011684,0.0011684
23,4814.85,0.77286,0.54999,0.92933,0.99945,0.96429,0.99333,0.82705,0.62362,0.44167,0.93493,0.0011288,0.0011288,0.0011288
24,5123.09,0.79864,0.56743,0.95868,0.98028,0.98214,0.99362,0.83569,0.5466,0.4312,0.90968,0.0010892,0.0010892,0.0010892
25,5299.92,0.81806,0.54719,0.95209,0.99657,0.98214,0.98813,0.79977,0.65408,0.46179,0.92617,0.0010496,0.0010496,0.0010496
26,5475.68,0.81081,0.55418,0.96618,0.979,0.98214,0.9906,0.8531,0.56115,0.38818,0.91352,0.00101,0.00101,0.00101
27,5653.1,0.8055,0.54369,0.95273,0.99929,0.98214,0.98979,0.85584,0.54464,0.40276,0.91476,0.0009704,0.0009704,0.0009704
28,5829.39,0.73764,0.50055,0.93556,0.99213,0.98214,0.99257,0.8429,0.55192,0.39774,0.91627,0.0009308,0.0009308,0.0009308
29,6005.91,0.74365,0.52314,0.94741,0.9947,0.98214,0.99389,0.85981,0.58978,0.39791,0.92129,0.0008912,0.0008912,0.0008912
30,6184.64,0.785,0.53677,0.96209,0.99649,1,0.995,0.84826,0.60089,0.38299,0.93567,0.0008516,0.0008516,0.0008516
31,6365.16,0.68032,0.48204,0.9212,0.9998,0.98214,0.99482,0.86738,0.57698,0.37994,0.91312,0.000812,0.000812,0.000812
32,6545.76,0.72202,0.49003,0.93696,0.96544,0.99773,0.99397,0.87249,0.54963,0.36762,0.90334,0.0007724,0.0007724,0.0007724
33,6730.01,0.72223,0.49446,0.94667,0.96547,0.99869,0.99394,0.8751,0.53661,0.37081,0.91477,0.0007328,0.0007328,0.0007328
34,7077.76,0.70196,0.49445,0.92382,0.98239,0.99649,0.99447,0.8483,0.61449,0.38026,0.9352,0.0006932,0.0006932,0.0006932
35,7258,0.65545,0.46253,0.91164,1,0.99849,0.995,0.85374,0.62023,0.36881,0.92805,0.0006536,0.0006536,0.0006536
36,7447.71,0.69608,0.46198,0.91708,1,0.99807,0.995,0.87148,0.55178,0.33699,0.90769,0.000614,0.000614,0.000614
37,7635.61,0.69838,0.4369,0.92755,0.98242,0.9982,0.99447,0.87879,0.53602,0.32076,0.90657,0.0005744,0.0005744,0.0005744
38,7816.3,0.64675,0.44964,0.91055,0.98237,1,0.99482,0.86234,0.53714,0.33524,0.91985,0.0005348,0.0005348,0.0005348
39,7997.13,0.64412,0.41826,0.92212,1,0.99683,0.995,0.87543,0.55016,0.32563,0.92274,0.0004952,0.0004952,0.0004952
40,8178.88,0.62985,0.43115,0.90345,0.9944,1,0.995,0.8645,0.55761,0.32036,0.92447,0.0004556,0.0004556,0.0004556
41,8358.65,0.54336,0.35314,0.87612,1,0.99842,0.995,0.86868,0.53267,0.30955,0.91201,0.000416,0.000416,0.000416
42,8539.32,0.5577,0.34944,0.89999,1,0.9996,0.995,0.8713,0.53376,0.30118,0.91579,0.0003764,0.0003764,0.0003764
43,8720.89,0.55295,0.3541,0.89257,0.99851,1,0.995,0.86432,0.53548,0.32519,0.91324,0.0003368,0.0003368,0.0003368
44,8899.86,0.51391,0.34096,0.87096,1,0.99945,0.995,0.86222,0.5292,0.32369,0.91729,0.0002972,0.0002972,0.0002972
45,9079.57,0.53628,0.37128,0.89516,1,0.99778,0.995,0.86978,0.52423,0.32096,0.91834,0.0002576,0.0002576,0.0002576
46,9262.09,0.51902,0.3354,0.88054,1,0.99661,0.995,0.88059,0.51767,0.30964,0.92302,0.000218,0.000218,0.000218
47,9454.04,0.50325,0.33349,0.88041,0.98174,1,0.99482,0.87658,0.49418,0.29657,0.91523,0.0001784,0.0001784,0.0001784
48,9647.81,0.50391,0.32854,0.87508,0.98245,0.99958,0.99482,0.882,0.47996,0.28902,0.91065,0.0001388,0.0001388,0.0001388
49,9840.19,0.50632,0.31976,0.88243,0.98244,1,0.99482,0.88577,0.49435,0.29857,0.90998,9.92e-05,9.92e-05,9.92e-05
50,10032.4,0.49657,0.31945,0.87699,0.98216,1,0.99482,0.88535,0.4761,0.29077,0.90491,5.96e-05,5.96e-05,5.96e-05
