epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.154,2.18618,4.5689,1.54149,0.00333,1,0.20033,0.09841,1.74948,4.46852,1.20249,8e-05,8e-05,8e-05
2,83.3821,1.67959,3.73102,1.2931,0.00333,1,0.54711,0.35633,1.22574,3.82908,0.99988,0.000176436,0.000176436,0.000176436
3,126.801,1.65824,3.03019,1.20058,0.00333,1,0.75943,0.41604,1.24855,3.95292,0.9981,0.000268912,0.000268912,0.000268912
4,155.4,1.54789,2.66791,1.22818,0.00333,1,0.52948,0.28114,1.20829,4.00923,1.0006,0.000357428,0.000357428,0.000357428
5,209.077,1.46366,2.42946,1.22876,0.00333,1,0.85122,0.57166,0.96664,3.65236,0.93885,0.000441984,0.000441984,0.000441984
6,246.266,1.52409,2.33485,1.24674,0.00333,1,0.63585,0.42564,0.94566,3.97777,0.97727,0.00052258,0.00052258,0.00052258
7,285.208,1.46185,2.90474,1.1761,0.00333,1,0.13371,0.01916,1.31965,4.50789,1.2074,0.000599216,0.000599216,0.000599216
8,317.575,1.49199,2.14434,1.20166,0.00333,1,0.00834,0.00467,1.28631,4.21905,1.2185,0.000671892,0.000671892,0.000671892
9,351.502,1.55351,2.31437,1.26924,0.00333,1,0.02591,0.01376,1.15254,4.0905,1.16016,0.000740608,0.000740608,0.000740608
10,382.59,1.45882,2.25717,1.29449,0.00333,1,0.00993,0.00524,1.03493,4.04027,1.16093,0.000805364,0.000805364,0.000805364
11,417.053,1.39165,1.88314,1.16215,0.00333,1,0.46002,0.27387,1.05516,3.68973,1.11129,0.00086616,0.00086616,0.00086616
12,456.702,1.43482,2.01686,1.27688,0.00333,1,0.57148,0.39212,1.08121,3.52341,1.14821,0.000922996,0.000922996,0.000922996
13,487.951,1.53321,2.16918,1.21656,0.00333,1,0.40507,0.24554,1.20366,3.72192,1.20337,0.000975872,0.000975872,0.000975872
14,528.268,1.47236,2.32013,1.22575,0.00333,1,0.63904,0.43679,1.10996,3.62567,1.14416,0.00102479,0.00102479,0.00102479
15,561.387,1.40199,1.74461,1.13819,1,0.58294,0.75578,0.48392,1.23788,3.11103,1.1529,0.00106974,0.00106974,0.00106974
16,594.707,1.39893,1.73695,1.17311,0.96995,0.55556,0.70069,0.45676,1.25655,3.08079,1.17193,0.00111074,0.00111074,0.00111074
17,637.511,1.40359,1.74979,1.25382,0.00772,0.77778,0.6698,0.46858,1.2286,3.42919,1.22585,0.00114778,0.00114778,0.00114778
18,671.97,1.33799,1.62101,1.17567,0.01934,0.77778,0.65391,0.48339,1.17261,3.41762,1.19503,0.00118085,0.00118085,0.00118085
19,708.209,1.33298,1.60982,1.2324,0.92287,0.44444,0.64168,0.46717,1.27249,3.29636,1.2025,0.00120997,0.00120997,0.00120997
20,745.001,1.43259,1.70587,1.17866,0.81939,0.44444,0.58334,0.39581,1.43181,3.19125,1.29091,0.00123512,0.00123512,0.00123512
21,789.743,1.44905,1.82095,1.27702,0.87998,0.44444,0.52599,0.38883,1.30594,3.35348,1.26386,0.001208,0.001208,0.001208
22,833.839,1.29661,1.90018,1.23818,1,0.54835,0.6756,0.47974,1.22958,2.95671,1.23469,0.0011684,0.0011684,0.0011684
23,872.432,1.54718,1.75687,1.24523,0.96201,0.55556,0.76078,0.45115,1.35997,2.38974,1.20972,0.0011288,0.0011288,0.0011288
24,908.742,1.28535,1.53439,1.06965,0.75625,0.69166,0.81774,0.53184,1.28772,2.02344,1.15099,0.0010892,0.0010892,0.0010892
25,941.644,1.42029,1.55683,1.18405,0.81609,0.66667,0.83259,0.59525,1.14842,2.13556,1.14433,0.0010496,0.0010496,0.0010496
26,975.153,1.36399,1.43295,1.21909,0.87094,0.75254,0.79042,0.5932,1.10601,2.30958,1.15457,0.00101,0.00101,0.00101
27,1011.36,1.19183,1.51996,1.12743,0.95728,0.77778,0.81316,0.59584,1.0357,2.2828,1.12366,0.0009704,0.0009704,0.0009704
28,1051.6,1.29461,1.40919,1.15376,1,0.76496,0.92778,0.7073,1.04431,2.09266,1.10039,0.0009308,0.0009308,0.0009308
