frame,kp_0_x,kp_0_y,kp_1_x,kp_1_y,kp_2_x,kp_2_y,kp_3_x,kp_3_y,kp_4_x,kp_4_y,kp_5_x,kp_5_y,kp_6_x,kp_6_y,kp_7_x,kp_7_y,kp_8_x,kp_8_y,kp_9_x,kp_9_y,kp_10_x,kp_10_y,kp_11_x,kp_11_y,kp_12_x,kp_12_y,kp_13_x,kp_13_y,kp_14_x,kp_14_y,kp_15_x,kp_15_y,kp_16_x,kp_16_y
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.35546875,263.4013366699219,1174.358154296875,275.34906005859375,1189.153076171875,276.7001647949219,0.0,0.0,1194.11669921875,294.55291748046875,0.0,0.0,1197.8433837890625,306.360595703125,1174.9678955078125,309.3218994140625,1184.79296875,309.98724365234375,1176.423583984375,334.0550842285156,1186.6201171875,334.4360656738281,0.0,0.0,1183.538330078125,350.53594970703125
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.4727783203125,263.5163269042969,1177.2332763671875,275.24188232421875,1190.665283203125,276.6902160644531,1178.4560546875,291.14862060546875,1195.4041748046875,294.31195068359375,0.0,0.0,1198.65185546875,306.97137451171875,1176.9088134765625,308.0538024902344,1186.21875,308.6284484863281,1177.3468017578125,330.8053894042969,1188.2496337890625,331.1325378417969,1175.6162109375,345.92431640625,1185.830078125,346.9425354003906
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0506591796875,262.8849182128906,1176.08740234375,275.58709716796875,1190.2984619140625,276.1773376464844,0.0,0.0,1194.934814453125,293.76519775390625,0.0,0.0,1198.17333984375,304.6442565917969,1175.5693359375,306.96832275390625,1185.856201171875,307.2440185546875,1177.492919921875,330.2020263671875,1190.765380859375,329.7730712890625,1175.111328125,346.25103759765625,1190.7371826171875,347.7400817871094
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.2381591796875,262.2620849609375,1176.481689453125,274.4522399902344,1189.13330078125,275.2543029785156,0.0,0.0,1194.739501953125,292.40899658203125,0.0,0.0,1197.939697265625,304.7743835449219,1176.2474365234375,307.10321044921875,1185.0784912109375,307.4580993652344,1177.092529296875,330.32257080078125,1188.30419921875,330.43609619140625,1175.1688232421875,345.782958984375,1186.9801025390625,346.46337890625
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.1727294921875,263.1105041503906,1176.551513671875,275.0311279296875,1190.809814453125,275.6678771972656,0.0,0.0,1195.9427490234375,291.9104919433594,0.0,0.0,1199.054931640625,303.73095703125,1177.9010009765625,305.9992370605469,1187.616943359375,306.33953857421875,1179.0086669921875,328.51629638671875,1190.4478759765625,328.587646484375,1176.396484375,345.6624755859375,1188.0848388671875,346.3326110839844
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.1424560546875,263.37164306640625,1176.3736572265625,275.25042724609375,1191.07373046875,275.8045959472656,0.0,0.0,1196.256591796875,291.82861328125,0.0,0.0,1199.34033203125,303.4761047363281,1177.8653564453125,306.0120849609375,1187.8741455078125,306.2906188964844,1178.947509765625,328.4358825683594,1190.507080078125,328.449951171875,1176.28955078125,345.6746826171875,1188.0384521484375,346.2759094238281
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.1700439453125,263.22222900390625,1176.52880859375,275.1556396484375,1191.070556640625,275.74481201171875,0.0,0.0,1196.279052734375,291.89794921875,0.0,0.0,1199.3497314453125,303.65869140625,1177.8056640625,306.1221008300781,1187.6246337890625,306.3884582519531,1178.947021484375,328.7700500488281,1189.87890625,328.7866516113281,1176.4273681640625,345.8946228027344,1187.1488037109375,346.47943115234375
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.2572021484375,263.4722595214844,1176.35595703125,275.2832946777344,1190.9720458984375,275.91241455078125,0.0,0.0,1196.1424560546875,291.97265625,0.0,0.0,1199.296875,303.59259033203125,1177.7337646484375,306.04425048828125,1187.61572265625,306.3587341308594,1179.007568359375,328.5225830078125,1189.9896240234375,328.5690612792969,1176.435791015625,345.7044372558594,1187.266357421875,346.3652038574219
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.844482421875,274.3597106933594,1193.3773193359375,274.67437744140625,0.0,0.0,1198.825439453125,291.57275390625,0.0,0.0,0.0,0.0,1179.8470458984375,307.0249938964844,1189.657470703125,307.0104675292969,1180.5301513671875,330.8800048828125,1190.75537109375,330.7415466308594,1179.759765625,346.8680725097656,1189.384033203125,346.8722229003906
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.4288330078125,274.674072265625,1193.4097900390625,274.9350280761719,0.0,0.0,1198.9091796875,291.8287048339844,0.0,0.0,0.0,0.0,1179.859375,307.5519104003906,1190.0777587890625,307.5570373535156,1180.562744140625,331.679443359375,1191.8551025390625,331.5340270996094,1179.6986083984375,347.6402587890625,1190.874267578125,347.6642150878906
